node_id,hostname,ip_address,latitude,longitude,environment,node_class,node_type,clli_prefix,city_code,state_code
11064,PTLDORPBCS81,192.168.61.64,45.521366,-122.680792,prod,core,7450,PTLDOR,PTLD,OR
11065,EUGNOR53CS81,192.168.61.65,44.0485082,-123.090785,prod,core,7450,EUGNOR,EUGN,OR
11069,PTLDORPBCS82,192.168.61.69,45.521366,-122.680792,prod,core,7450,PTLDOR,PTLD,OR
11073,NWPTORANCS81,192.168.61.73,44.636852,-124.050983,prod,core,7450,NWPTOR,NWPT,OR
11074,LNCYORLCCS81,192.168.61.74,44.960713,-124.015502,prod,core,7450,LNCYOR,LNCY,OR
11076,BDMNORUECS81,192.168.61.76,45.847069,-119.684647,prod,supercore,7450,BDMNOR,BDMN,OR
11077,KLFLOR54CS81,192.168.61.77,42.226411,-121.781647,prod,core,7450,KLFLOR,KLFL,OR
11078,PRDLORLSCS81,192.168.61.78,45.530205,-121.564388,prod,core,7450,PRDLOR,PRDL,OR
11080,THDLORQLCS81,192.168.61.80,45.601573,-121.183881,prod,core,7450,THDLOR,THDL,OR
11082,CSBYORXXCS81,192.168.61.82,43.3648580,-124.2179617,prod,core,7450,CSBYOR,CSBY,OR
11085,HMTNOR56CS81,192.168.61.85,45.839878,-119.286608,prod,core,7450,HMTNOR,HMTN,OR
11086,MDFDORUCM01PS81,192.168.61.86,42.337975,-122.891500,prod,uscc,7450,MDFDOR,MDFD,OR
11087,MDFDORUCM01PS82,192.168.61.87,42.337975,-122.891500,prod,uscc,7450,MDFDOR,MDFD,OR
11088,YAKMWAUCM01PS81,192.168.61.88,46.6036722,-120.5134416,prod,uscc,7450,YAKMWA,YAKM,WA
11089,YAKMWAUCM01PS82,192.168.61.89,46.6036722,-120.5134416,prod,uscc,7450,YAKMWA,YAKM,WA
11090,CNPNOR29CS81,192.168.61.90,42.3760249,-122.915433,prod,core,7450,CNPNOR,CNPN,OR
11091,WHCYORXXCS81,192.168.61.91,42.436720,-122.84372,prod,core,7450,WHCYOR,WHCY,OR
11092,PASCWA01CS81,192.168.61.92,46.229797,-119.096230,prod,core,7450,PASCWA,PASC,WA
11093,KNWCWAXACS81,192.168.61.93,46.212952,-119.187155,prod,core,7450,KNWCWA,KNWC,WA
11094,YAKMWA02CS81,192.168.61.94,46.600112,-120.511155,prod,core,7450,YAKMWA,YAKM,WA
11095,YAKMWAWECS81,192.168.61.95,46.596819,-120.603922,prod,core,7450,YAKMWA,YAKM,WA
12072,PTLDOR69CS81,192.168.65.72,45.521838,-122.679138,prod,core,7450,PTLDOR,PTLD,OR
12073,ASTROR64CS81,192.168.65.73,46.187530,-123.832197,prod,core,7450,ASTROR,ASTR,OR
12074,HLBOOR38PS81,192.168.65.74,45.5445749,-122.8821277,prod,vzw,7450,HLBOOR,HLBO,OR
12075,HLBOOR38PS82,192.168.65.75,45.5445749,-122.8821277,prod,vzw,7450,HLBOOR,HLBO,OR
12076,SPKNWAQRPS81,192.168.65.76,47.682645,-117.268081,prod,vzw,7450,SPKNWA,SPKN,WA
12077,SPKNWAQRPS82,192.168.65.77,47.682645,-117.268081,prod,vzw,7450,SPKNWA,SPKN,WA
12078,SPKNWAUBCS81,192.168.65.78,47.658322,-117.419291,prod,core,7450,SPKNWA,SPKN,WA
12079,SPKNWA01CS81,192.168.65.79,47.654252,-117.4201388,prod,core,7450,SPKNWA,SPKN,WA
12080,EUGNORBPPS81,192.168.65.80,44.063505,-123.142233,prod,vzw,7450,EUGNOR,EUGN,OR
12081,EUGNORBPPS82,192.168.65.81,44.063505,-123.142233,prod,vzw,7450,EUGNOR,EUGN,OR
12082,EUGNOR28CS81,192.168.65.82,44.090805,-123.125419,prod,core,7450,EUGNOR,EUGN,OR
12083,BKNGORXXCS81,192.168.65.83,42.051966,-124.278452,prod,supercore,7450,BKNGOR,BKNG,OR
12084,BNDNORXXCS81,192.168.65.84,43.116405,-124.415613,prod,supercore,7450,BNDNOR,BNDN,OR
12085,BAKROR23CS81,192.168.65.85,44.775527,-117.831786,prod,supercore,7450,BAKROR,BAKR,OR
12087,LGVWWA02CS81,192.168.65.87,46.141033,-122.934288,prod,core,7450,LGVWWA,LGVW,WA
12088,LAGRORXBCS81,192.168.65.88,45.329389,-118.095312,prod,core,7450,LAGROR,LAGR,OR
12090,BENDOR24CS81,192.168.65.90,44.060818,-121.309277,prod,core,7450,BENDOR,BEND,OR
13130,ASLDOR55CR71,209.237.65.130,42.194538,-122.705277,prod,core,7750 SR-a8,ASLDOR,ASLD,OR
13131,YAKMWA02CR71,209.237.65.131,46.600112,-120.511155,prod,core,7750 SR-a4,YAKMWA,YAKM,WA
13132,BRNSORDSCR71,209.237.65.132,43.587819,-119.072922,prod,supercore,7750 SR-a8,BRNSOR,BRNS,OR
13133,CRVSOR65CR71,209.237.65.133,44.566011,-123.261622,prod,supercore,7750 SR-a8,CRVSOR,CRVS,OR
13134,CRWLORCGCR71,209.237.65.134,43.917633,-123.020187,prod,core,7750 SR-a8,CRWLOR,CRWL,OR
13135,WHSLWALSCR71,209.237.65.135,45.726619,-121.481305,prod,core,7750 SR-a4,WHSLWA,WHSL,WA
13137,FLRNORLSCR71,209.237.65.137,43.994404,-124.113418,prod,core,7750 SR-a8,FLRNOR,FLRN,OR
13138,ATHNORLSCR71,209.237.65.138,45.811650,-118.486760,prod,supercore,7750 SR-a4,ATHNOR,ATHN,OR
13139,BENDORYBPR71,209.237.65.139,44.062790,-121.304446,prod,customer,7750 SR-a4,BENDOR,BEND,OR
13140,MLTNORLSCR71,209.237.65.140,45.941130,-118.395250,prod,supercore,7750 SR-a4,MLTNOR,MLTN,OR
13141,GRNGWAXACR71,209.237.65.141,46.341722,-120.187613,prod,supercore,7750 SR-a8,GRNGWA,GRNG,WA
13142,DRANORDFCR71,209.237.65.142,43.659672,-123.323094,prod,core,7750 SR-a4,DRANOR,DRAN,OR
13143,ENTRORXXCR71,209.237.65.143,45.4260944,-117.2778916,prod,core,7750 SR-a4,ENTROR,ENTR,OR
13144,ONTRORXCCR71,209.237.65.144,44.02493,-116.96647,prod,supercore,7750 SR-a8,ONTROR,ONTR,OR
13146,PNTNORIMPR71,209.237.65.146,45.658607,-118.815919,prod,customer,7750 SR-a4,PNTNOR,PNTN,OR
13148,RDPTORANCR71,209.237.65.148,43.693419,-124.133447,prod,supercore,7750 SR-a8,RDPTOR,RDPT,OR
13150,SESDOR64CR71,209.237.65.150,45.992519,-123.925608,prod,core,7750 SR-a4,SESDOR,SESD,OR
13151,SNSDWAXXCR71,209.237.65.151,46.324738,-120.014877,prod,supercore,7750 SR-a8,SNSDWA,SNSD,WA
13154,TPNSWAXXCR71,209.237.65.154,46.376322,-120.312155,prod,supercore,7750 SR-a8,TPNSWA,TPNS,WA
13155,WPATWAXXCR71,209.237.65.155,46.444488,-120.420363,prod,supercore,7750 SR-a8,WPATWA,WPAT,WA
13156,OLYMWASWPR71,209.237.65.156,47.027055,-122.894371,prod,core,7750 SR-a4,OLYMWA,OLYM,WA
13157,VENTORCSCR71,209.237.65.157,44.038167,-123.327850,prod,core,7750 SR-a4,VENTOR,VENT,OR
13158,RDMDORQCCR72,209.237.65.158,44.270833,-121.165417,prod,core,7750 SR-a4,RDMDOR,RDMD,OR
13159,HLBOORFXCR71,209.237.65.159,45.549516,-122.890893,prod,core,7750 SR-a8,HLBOOR,HLBO,OR
13160,SNJSCALSCR71,209.237.65.160,37.241621,-121.783221,prod,supercore,7750 SR-a8,SNJSCA,SNJS,CA
13161,VALEORXCCR71,209.237.65.161,43.981027,-117.242413,prod,core,7750 SR-a4,VALEOR,VALE,OR
13162,RENONVMPCR71,209.237.65.162,39.525546,-119.813959,prod,supercore,7750 SR-a8,RENONV,RENO,NV
13163,RDMDORQCCR71,209.237.65.163,44.270833,-121.165417,prod,supercore,7750 SR-a8,RDMDOR,RDMD,OR
13164,MADRORQCCR71,209.237.65.164,44.630566,-121.059766,prod,supercore,7750 SR-a8,MADROR,MADR,OR
13165,MALNORHCCR71,209.237.65.165,42.011951,-121.419635,prod,core,7750 SR-a8,MALNOR,MALN,OR
13166,BENDORHPCR71,209.237.65.166,44.065275,-121.264341,prod,supercore,7750 SR-a8,BENDOR,BEND,OR
13167,YREKCAHCCR71,209.237.65.167,41.712170,-122.643320,prod,core,7750 SR-a8,YREKCA,YREK,CA
13168,MAUPORLSCR71,209.237.65.168,45.173786,-121.085786,prod,core,7750 SR-a8,MAUPOR,MAUP,OR
13169,BENDORBDCR71,209.237.65.169,44.086247,-121.282905,prod,supercore,7750 SR-a8,BENDOR,BEND,OR
13170,WNLCWA01CR71,209.237.65.170,46.490052,-122.937172,prod,core,7750 SR-a4,WNLCWA,WNLC,WA
13171,PTLDOR62PR71,209.237.65.171,45.522580,-122.680070,prod,att,7750 SR-a4,PTLDOR,PTLD,OR
13172,PTLDOR62PR72,209.237.65.172,45.522580,-122.680070,prod,att,7750 SR-a4,PTLDOR,PTLD,OR
13173,RSBGORAVCR71,209.237.65.173,43.237900,-123.359884,prod,core,7750 SR-a8,RSBGOR,RSBG,OR
13174,EUGNORN2PR71,209.237.65.174,44.051347,-123.084397,prod,customer,7750 SR-a8,EUGNOR,EUGN,OR
13175,CVJTORLSCR71,209.237.65.175,42.161108,-123.646911,prod,core,7750 SR-a4,CVJTOR,CVJT,OR
13176,LKVWORLSCR71,209.237.65.176,42.190805,-120.346769,prod,core,7750 SR-a4,LKVWOR,LKVW,OR
13177,ALBYOR63CR71,209.237.65.177,44.637191,-123.101899,prod,core,7750 SR-a4,ALBYOR,ALBY,OR
13178,CRVSOROSCR71,209.237.65.178,44.563205,-123.265155,prod,core,7750 SR-a4,CRVSOR,CRVS,OR
13179,MMVLORXXCR71,209.237.65.179,45.210983,-123.195259,prod,core,7750 SR-a4,MMVLOR,MMVL,OR
13180,TLMKORCCCR71,209.237.65.180,45.456366,-123.832944,prod,core,7750 SR-a4,TLMKOR,TLMK,OR
13181,CQLLORXXCR71,209.237.65.181,43.176479,-124.18907,prod,core,7750 SR-a4,CQLLOR,CQLL,OR
13182,PRVLOR53CR71,209.237.65.182,44.302277,-120.849936,prod,supercore,7750 SR-a8,PRVLOR,PRVL,OR
13183,RUFSORLSCR71,209.237.65.183,45.671572,-120.738280,prod,core,7750 SR-a4,RUFSOR,RUFS,OR
13184,ARTNORFTCR71,209.237.65.184,45.704663,-120.157365,prod,core,7750 SR-a4,ARTNOR,ARTN,OR
13185,GDVWWAXACR71,209.237.65.185,46.251097,-119.907511,prod,supercore,7750 SR-a4,GDVWWA,GDVW,WA
13186,PRSRWAXACR71,209.237.65.186,46.204055,-119.768311,prod,supercore,7750 SR-a4,PRSRWA,PRSR,WA
13187,BNCYWALSCR71,209.237.65.187,46.275169,-119.515747,prod,supercore,7750 SR-a4,BNCYWA,BNCY,WA
13188,LAPNORELCR71,209.237.65.188,43.661349,-121.45442,prod,core,7750 SR-a4,LAPNOR,LAPN,OR
13189,ASLDORAFCR71,209.237.65.189,42.195436,-122.698671,prod,core,7750 SR-a4,ASLDOR,ASLD,OR
13190,SALMORJ1PR71,209.237.65.190,44.928986,-122.99634,prod,customer,7750 SR-a4,SALMOR,SALM,OR
13192,BVTNORXBCR71,209.237.65.192,45.490205,-122.811202,prod,core,7750 SR-a8,BVTNOR,BVTN,OR
13193,INDPOR58CR71,209.237.65.193,44.851148,-123.212981,prod,core,7750 SR-a4,INDPOR,INDP,OR
13194,ALBYOR63CR72,209.237.65.194,44.637191,-123.101899,prod,supercore,7750 SR-a4,ALBYOR,ALBY,OR
13195,SALMOR58CR71,209.237.65.195,44.938143,-123.033613,prod,core,7750 SR-a4,SALMOR,SALM,OR
13196,FRLDIDXXCR71,209.237.65.196,44.00953,-116.91647,prod,core,7750 SR-a4,FRLDID,FRLD,ID
13198,PTORORXXCR71,209.237.65.198,42.745719,-124.494290,prod,supercore,7750 SR-a4,PTOROR,PTOR,OR
13199,GLBHORXXCR71,209.237.65.199,42.417650,-124.420109,prod,supercore,7750 SR-a4,GLBHOR,GLBH,OR
13200,QNCYWASBPR71,209.237.65.200,47.246266,-119.8157,prod,core,7750 SR-a4,QNCYWA,QNCY,WA
13202,SPFDOR01CR71,209.237.65.202,44.045641,-123.001372,prod,core,7750 SR-a8,SPFDOR,SPFD,OR
13203,SALMORMKPR71,209.237.65.203,44.958290,-122.983570,prod,customer,7750 SR-a4,SALMOR,SALM,OR
13204,EUGNORWXCR71,209.237.65.204,44.050476,-123.092509,prod,supercore,7750 SR-a4,EUGNOR,EUGN,OR
13205,DLPTWALSCR71,209.237.65.205,45.623808,-121.139918,prod,core,7750 SR-a4,DLPTWA,DLPT,WA
13206,CENLWA01CR71,209.237.65.206,46.717558,-122.954802,prod,core,7750 SR-a4,CENLWA,CENL,WA
13207,EWNCWATMB01PR71,209.237.65.207,47.408100,-120.188700,prod,tmb,7750 SR-a4,EWNCWA,EWNC,WA
13208,EWNCWATMB01PR72,209.237.65.208,47.408100,-120.188700,prod,tmb,7750 SR-a4,EWNCWA,EWNC,WA
13213,HDRVORXACR71,209.237.65.213,45.707861,-121.516683,prod,core,7750 SR-a4,HDRVOR,HDRV,OR
13216,STHROR58CR71,209.237.65.216,43.390780,-123.312910,prod,core,7750 SR-a4,STHROR,STHR,OR
14016,STTLWAWBCR82,216.110.192.16,47.615830,-122.340419,prod,core,7750 SR-12e,STTLWA,STTL,WA
14017,EUGNOR53CR81,216.110.192.17,44.0485082,-123.090785,prod,supercore,7750 SR-12e,EUGNOR,EUGN,OR
14018,PTLDORPBCR81,216.110.192.18,45.521366,-122.680792,prod,core,7750 SR-12e,PTLDOR,PTLD,OR
14019,PTLDORPBCR82,216.110.192.19,45.521366,-122.680792,prod,supercore,7750 SR-12e,PTLDOR,PTLD,OR
14020,MDFDOR33CR81,216.110.192.20,42.330729,-122.875755,prod,supercore,7750 SR-12e,MDFDOR,MDFD,OR
14021,BENDOR24CR81,216.110.192.21,44.060818,-121.309277,prod,supercore,7750 SR-12e,BENDOR,BEND,OR
14022,RSBGOR57CR81,216.110.192.22,43.205674,-123.345807,prod,supercore,7750 SR-2s,RSBGOR,RSBG,OR
14023,PNTNOR56CR81,216.110.192.23,45.671608,-118.788442,prod,supercore,7750 SR-2s,PNTNOR,PNTN,OR
14025,ALBYORHSCR81,216.110.192.25,44.623486,-123.116979,prod,supercore,7750 SR-2s,ALBYOR,ALBY,OR
14026,RDMDOR01CR81,216.110.192.26,44.274369,-121.174572,prod,supercore,7750 SR-2s,RDMDOR,RDMD,OR
14027,GRPSOR29CR81,216.110.192.27,42.440538,-123.327383,prod,supercore,7750 SR-2s,GRPSOR,GRPS,OR
14028,SALMOR58CR81,216.110.192.28,44.938143,-123.033613,prod,supercore,7750 SR-2s,SALMOR,SALM,OR
14029,YAKMWA02CR81,216.110.192.29,46.600112,-120.511155,prod,supercore,7750 SR-2s,YAKMWA,YAKM,WA
14030,KNWCWAXACR81,216.110.192.30,46.212952,-119.187155,prod,supercore,7750 SR-2s,KNWCWA,KNWC,WA
14031,LAGRORXBCR81,216.110.192.31,45.329389,-118.095312,prod,supercore,7750 SR-2s,LAGROR,LAGR,OR
14064,STTLWAWBCR81,216.110.192.64,47.615830,-122.340419,prod,supercore,7750 SR-2s,STTLWA,STTL,WA
14065,THDLORQLCR81,216.110.192.65,45.601573,-121.183881,prod,supercore,7750 SR-2s,THDLOR,THDL,OR
14066,PTLDORPBCR83,216.110.192.66,45.521366,-122.680792,prod,supercore,7750 SR-2s,PTLDOR,PTLD,OR
14067,HLBOORFXCR81,216.110.192.67,45.549516,-122.890893,prod,supercore,7750 SR-2s,HLBOOR,HLBO,OR
14068,HMTNOR56CR81,216.110.192.68,45.839878,-119.286608,prod,supercore,7750 SR-2s,HMTNOR,HMTN,OR
15086,FTRKORELAS81,192.168.65.86,43.243000,-120.921705,prod,dist,7250 IXR-e,FTRKOR,FTRK,OR
15089,BNGNWABPPS81,192.168.65.89,45.714840,-121.464519,prod,dist,7250 IXR-e,BNGNWA,BNGN,WA
15093,MYCKORDFAS81,192.168.65.93,43.174722,-123.288627,prod,dist,7250 IXR-e,MYCKOR,MYCK,OR
15094,CMVYORDFN01AS81,192.168.65.94,43.038480,-123.669360,prod,dist,7250 IXR-e,CMVYOR,CMVY,OR
17003,YAKMWAWECS71,192.168.70.3,46.596819,-120.603922,prod,supercore,7250 IXR-R6d,YAKMWA,YAKM,WA
17004,SESDOR64CS71,192.168.70.4,45.992519,-123.925608,prod,supercore,7250 IXR-e,SESDOR,SESD,OR
17005,SPKNWA01CS71,192.168.70.5,47.654252,-117.4201388,prod,supercore,7250 IXR-e2,SPKNWA,SPKN,WA
17006,SPKNWAUBCS71,192.168.70.6,47.658322,-117.419291,prod,supercore,7250 IXR-R6d,SPKNWA,SPKN,WA
17007,EUGNOR28CS71,192.168.70.7,44.090805,-123.125419,prod,supercore,7250 IXR-e2,EUGNOR,EUGN,OR
17008,SPKNWA01PS71,192.168.70.8,47.654252,-117.4201388,prod,att,7250 IXR-e2,SPKNWA,SPKN,WA
17009,SPKNWA01PS72,192.168.70.9,47.654252,-117.4201388,prod,att,7250 IXR-e2,SPKNWA,SPKN,WA
